action,date,ticker,entry_price,position_size,cash_before_entry,cash_after_entry,slippage_bps,commission,net_return,exit_date,running_equity,cash_before_exit,cash_after_exit
ENTRY,2025-09-08,CSIQ,0.15,2000.0,10000.0,7999.0,15.0,1.0,0.146,2025-09-14,9999.0,,
ENTRY,2025-09-08,AMC,0.0247350436567178,1599.7999999999997,7999.0,6398.200000000001,15.0,1.0,0.0207350436567178,2025-09-28,9998.0,,
ENTRY,2025-09-09,OKTA,-0.05,1279.64,6398.200000000001,5117.56,15.0,1.0,-0.054000000000000006,2025-09-15,9997.0,,
ENTRY,2025-09-09,AAL,-0.05,1023.5120000000001,5117.56,4093.0480000000002,15.0,1.0,-0.054000000000000006,2025-09-18,9996.0,,
ENTRY,2025-09-09,SNDL,0.15,818.6096,4093.0480000000002,3273.4384,15.0,1.0,0.146,2025-09-23,9995.0,,
EXIT,2025-09-15,CSIQ,,2000.0,,,,1.0,0.146,2025-09-14,12286.0,3273.4384,5564.4384
EXIT,2025-09-15,OKTA,,1279.64,,,,1.0,-0.054000000000000006,2025-09-15,13495.53944,5564.4384,6773.97784
ENTRY,2025-09-15,TSLA,0.0630669808132379,1354.7955679999998,6773.97784,5418.182272,15.0,1.0,0.0590669808132379,2025-10-05,10214.89944,,
ENTRY,2025-09-15,PACB,0.15,1083.6364543999998,5418.182272,4333.5458176,15.0,1.0,0.146,2025-09-27,10213.89944,,
EXIT,2025-09-18,AAL,,1023.5120000000001,,,,1.0,-0.054000000000000006,2025-09-18,11181.141791999999,4333.5458176,5300.7881696
ENTRY,2025-09-18,DAL,-0.05,1060.15763392,5300.7881696,4239.63053568,15.0,1.0,-0.054000000000000006,2025-09-23,10156.629792,,
EXIT,2025-09-23,SNDL,,818.6096,,,,1.0,0.146,2025-09-23,11093.7563936,4239.63053568,5176.75713728
EXIT,2025-09-23,DAL,,1060.15763392,,,,1.0,-0.054000000000000006,2025-09-23,12095.66551528832,5176.75713728,6178.66625896832
ENTRY,2025-09-23,NTRA,-0.05,1235.733251793664,6178.66625896832,4941.933007174656,15.0,1.0,-0.054000000000000006,2025-09-24,10215.89828136832,,
ENTRY,2025-09-23,LCID,-0.05,988.3866014349312,4941.933007174656,3952.546405739725,15.0,1.0,-0.054000000000000006,2025-10-06,10214.89828136832,,
EXIT,2025-09-24,NTRA,,1235.733251793664,,,,1.0,-0.054000000000000006,2025-09-24,11382.901937565126,3952.546405739725,5120.550061936531
ENTRY,2025-09-24,AFRM,-0.05,1024.1100123873061,5120.550061936531,4095.440049549225,15.0,1.0,-0.054000000000000006,2025-09-26,10146.168685771461,,
EXIT,2025-09-26,AFRM,,1024.1100123873061,,,,1.0,-0.054000000000000006,2025-09-26,11113.976757489854,4095.440049549225,5063.248121267617
ENTRY,2025-09-26,COIN,0.15,1012.6496242535234,5063.248121267617,4049.5984970140935,15.0,1.0,0.146,2025-09-30,10088.866745102547,,
EXIT,2025-09-29,AMC,,1599.7999999999997,,,,1.0,0.0207350436567178,2025-09-28,11720.838667944565,4049.5984970140935,5681.570419856111
EXIT,2025-09-29,PACB,,1083.6364543999998,,,,1.0,0.146,2025-09-27,12961.686044686965,5681.570419856111,6922.417796598511
ENTRY,2025-09-29,Z,-0.05,1384.483559319702,6922.417796598511,5536.934237278809,15.0,1.0,-0.054000000000000006,2025-09-30,10277.249590286965,,
ENTRY,2025-09-29,GME,-0.05,1107.3868474557617,5536.934237278809,4428.547389823047,15.0,1.0,-0.054000000000000006,2025-10-03,10276.249590286965,,
EXIT,2025-09-30,COIN,,1012.6496242535234,,,,1.0,0.146,2025-09-30,11435.746059681504,4428.547389823047,5588.043859217584
EXIT,2025-09-30,Z,,1384.483559319702,,,,1.0,-0.054000000000000006,2025-09-30,12744.46750679794,5588.043859217584,6896.765306334022
ENTRY,2025-09-30,MDB,0.0840259880210789,1379.3530612668044,6896.765306334022,5516.412245067218,15.0,1.0,0.0800259880210789,2025-10-20,10346.334323224713,,
ENTRY,2025-09-30,BBBY,0.15,1103.2824490134435,5516.412245067218,4412.129796053774,15.0,1.0,0.146,2025-10-02,10345.334323224713,,
EXIT,2025-10-02,BBBY,,1103.2824490134435,,,,1.0,0.146,2025-10-02,11608.69600979412,4412.129796053774,5675.49148262318
ENTRY,2025-10-02,EDIT,-0.05,1135.0982965246358,5675.49148262318,4539.393186098544,15.0,1.0,-0.054000000000000006,2025-10-05,10504.413560780677,,
EXIT,2025-10-03,GME,,1107.3868474557617,,,,1.0,-0.054000000000000006,2025-10-03,11551.001518473826,4539.393186098544,5585.981143791694
ENTRY,2025-10-03,ORCL,-0.05,1117.1962287583387,5585.981143791694,4467.784915033355,15.0,1.0,-0.054000000000000006,2025-10-05,10442.614671018066,,
EXIT,2025-10-06,TSLA,,1354.7955679999998,,,,1.0,0.0590669808132379,2025-10-05,11876.43392283898,4467.784915033355,5901.60416685427
EXIT,2025-10-06,LCID,,988.3866014349312,,,,1.0,-0.054000000000000006,2025-10-06,12810.447647796424,5901.60416685427,6835.617891811715
EXIT,2025-10-06,EDIT,,1135.0982965246358,,,,1.0,-0.054000000000000006,2025-10-05,13883.25063630873,6835.617891811715,7908.42088032402
